,id,Type,Player,href,decklist,record,date
0,4896460,Murktide Regent,O_danielakos,/deck/visual/4896460?fullscreen=true,"3 Archmage's Charm
4 Consider
4 Counterspell
4 Dragon's Rage Channeler
1 Dress Down
4 Expressive Iteration
1 Fiery Islet
4 Lightning Bolt
4 Mishra's Bauble
2 Misty Rainforest
4 Murktide Regent
1 Otawara, Soaring City
2 Polluted Delta
4 Ragavan, Nimble Pilferer
2 Scalding Tarn
3 Snow-Covered Island
2 Spell Pierce
4 Spirebluff Canal
3 Steam Vents
4 Unholy Heat

1 Abrade
1 Blood Moon
1 Dress Down
2 Engineered Explosives
1 Flusterstorm
1 Fury
1 Jace, the Mind Sculptor
1 Magus of the Moon
2 Mystical Dispute
1 Subtlety
1 Tormod's Crypt
2 Unlicensed Hearse
",1, 2022-06-19
1,4896461,RG,YungDingo,/deck/visual/4896461?fullscreen=true,"2 Arid Mesa
2 Bloodstained Mire
1 Boseiju, Who Endures
1 Cinder Glade
4 Dryad of the Ilysian Grove
2 Dwarven Mine
4 Explore
1 Forest
4 Lightning Bolt
5 Mountain
4 Primeval Titan
4 Sakura-Tribe Elder
2 Scalding Tarn
4 Search for Tomorrow
2 Sheltered Thicket
3 Stomping Ground
3 Valakut, the Molten Pinnacle
4 Wish
4 Wooded Foothills
4 Wrenn and Six

3 Chalice of the Void
1 Endurance
1 Flame Slash
1 Nature's Claim
2 Relic of Progenitus
2 Scapeshift
1 Tormod's Crypt
1 Valakut, the Molten Pinnacle
3 Veil of Summer
",2, 2022-06-19
2,4896462,Grixis Death's Shadow,Shadowz2005,/deck/visual/4896462?fullscreen=true,"2 Blood Crypt
4 Bloodstained Mire
4 Death's Shadow
4 Dragon's Rage Channeler
4 Drown in the Loch
4 Expressive Iteration
1 Fatal Push
1 Fiery Islet
2 Kroxa, Titan of Death's Hunger
4 Ledger Shredder
1 Lightning Bolt
4 Mishra's Bauble
1 Mountain
4 Polluted Delta
4 Ragavan, Nimble Pilferer
3 Scalding Tarn
2 Steam Vents
1 Swamp
4 Thoughtseize
4 Unholy Heat
2 Watery Grave

1 Dress Down
1 Engineered Explosives
2 Flusterstorm
1 Jegantha, the Wellspring
1 Kaito Shizuki
1 Kolaghan's Command
1 Mystical Dispute
1 Spell Pierce
2 Terminate
2 Tourach, Dread Cantor
2 Unlicensed Hearse
",3, 2022-06-19
3,4896463,Prison Tron,susurrus_mtg,/deck/visual/4896463?fullscreen=true,"1 Basilisk Collar
1 Blast Zone
4 Chalice of the Void
3 Ensnaring Bridge
4 Expedition Map
1 Gemstone Caverns
3 Inventors' Fair
1 Island
4 Karn, the Great Creator
4 Mystic Forge
1 Pithing Needle
1 Relic of Progenitus
4 Serum Powder
2 Sorcerous Spyglass
4 Spellskite
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Saga
4 Urza's Tower
4 Walking Ballista
2 Welding Jar

1 Crucible of Worlds
2 Defense Grid
2 Dismember
1 Ensnaring Bridge
1 Grafdigger's Cage
1 Liquimetal Coating
1 Possessed Portal
1 Sundering Titan
3 Torpor Orb
2 Welding Jar
",4, 2022-06-19
4,4896464,4c Blink,12azor,/deck/visual/4896464?fullscreen=true,"4 Abundant Growth
1 Boseiju, Who Endures
1 Breeding Pool
4 Counterspell
2 Eladamri's Call
1 Emrakul, the Promised End
2 Endurance
4 Expressive Iteration
4 Flooded Strand
1 Fury
1 Hallowed Fountain
2 Ice-Fang Coatl
1 Ketria Triome
4 Misty Rainforest
4 Omnath, Locus of Creation
1 Otawara, Soaring City
4 Prismatic Ending
4 Ragavan, Nimble Pilferer
1 Raugrin Triome
1 Sacred Foundry
2 Snow-Covered Forest
1 Snow-Covered Island
1 Snow-Covered Mountain
1 Snow-Covered Plains
1 Sokenzan, Crucible of Defiance
4 Solitude
2 Spreading Seas
1 Steam Vents
1 Stomping Ground
4 Teferi, Time Raveler
1 Temple Garden
4 Unholy Heat
3 Windswept Heath
3 Wooded Foothills
4 Wrenn and Six

2 Boseiju, Who Endures
2 Chalice of the Void
1 Force of Vigor
1 Magus of the Moon
1 Meddling Mage
3 Mystical Dispute
1 Obsidian Charmaw
2 Relic of Progenitus
1 Veil of Summer
1 Yorion, Sky Nomad
",5, 2022-06-19
5,4896465,4c Blink,Gerschi,/deck/visual/4896465?fullscreen=true,"4 Abundant Growth
1 Boseiju, Who Endures
1 Breeding Pool
4 Counterspell
2 Dress Down
2 Eladamri's Call
1 Endurance
2 Ephemerate
2 Eternal Witness
4 Expressive Iteration
4 Flooded Strand
1 Fury
1 Hallowed Fountain
4 Ice-Fang Coatl
1 Ketria Triome
4 Lightning Bolt
4 Misty Rainforest
4 Omnath, Locus of Creation
1 Otawara, Soaring City
4 Prismatic Ending
1 Raugrin Triome
1 Sacred Foundry
2 Snow-Covered Forest
1 Snow-Covered Island
1 Snow-Covered Plains
1 Sokenzan, Crucible of Defiance
4 Solitude
1 Steam Vents
1 Stomping Ground
4 Teferi, Time Raveler
1 Temple Garden
4 Windswept Heath
3 Wooded Foothills
4 Wrenn and Six

2 Chalice of the Void
1 Emrakul, the Promised End
3 Endurance
1 Flusterstorm
2 Force of Vigor
1 Knight of Autumn
2 Supreme Verdict
2 Veil of Summer
1 Yorion, Sky Nomad
",6, 2022-06-19
6,4896466,Burn,FerMTG,/deck/visual/4896466?fullscreen=true,"4 Arid Mesa
4 Boros Charm
4 Eidolon of the Great Revel
1 Fiery Islet
4 Goblin Guide
4 Inspiring Vantage
4 Lava Spike
4 Lightning Bolt
2 Lightning Helix
4 Monastery Swiftspear
3 Mountain
4 Rift Bolt
2 Sacred Foundry
4 Searing Blaze
4 Skewer the Critics
2 Skullcrack
4 Sunbaked Canyon
2 Wooded Foothills

2 Deflecting Palm
2 Path to Exile
4 Roiling Vortex
3 Sanctifier en-Vec
4 Smash to Smithereens
",7, 2022-06-19
7,4896467,4c Blink,BigGoon86,/deck/visual/4896467?fullscreen=true,"4 Abundant Growth
2 Boseiju, Who Endures
1 Breeding Pool
4 Counterspell
2 Dress Down
1 Eladamri's Call
1 Endurance
2 Ephemerate
2 Eternal Witness
4 Expressive Iteration
4 Flooded Strand
1 Fury
1 Hallowed Fountain
4 Ice-Fang Coatl
1 Ketria Triome
3 Lightning Bolt
2 March of Otherworldly Light
4 Misty Rainforest
4 Omnath, Locus of Creation
4 Prismatic Ending
1 Raugrin Triome
1 Sacred Foundry
2 Scalding Tarn
1 Snow-Covered Forest
2 Snow-Covered Island
1 Snow-Covered Plains
1 Sokenzan, Crucible of Defiance
4 Solitude
1 Steam Vents
4 Teferi, Time Raveler
1 Temple Garden
4 Windswept Heath
2 Wooded Foothills
4 Wrenn and Six

3 Chalice of the Void
1 Eladamri's Call
1 Emrakul, the Promised End
2 Endurance
2 Force of Vigor
2 Supreme Verdict
3 Veil of Summer
1 Yorion, Sky Nomad
",8, 2022-06-19
8,4896468,Grixis Death's Shadow,kanister,/deck/visual/4896468?fullscreen=true,"2 Blood Crypt
4 Bloodstained Mire
4 Death's Shadow
3 Dragon's Rage Channeler
4 Drown in the Loch
4 Expressive Iteration
2 Fatal Push
2 Kroxa, Titan of Death's Hunger
4 Ledger Shredder
1 Lightning Bolt
4 Mishra's Bauble
1 Mountain
4 Polluted Delta
4 Ragavan, Nimble Pilferer
3 Scalding Tarn
2 Steam Vents
1 Swamp
2 Terminate
4 Thoughtseize
3 Unholy Heat
2 Watery Grave

1 Alpine Moon
2 Dress Down
1 Engineered Explosives
1 Flusterstorm
1 Jegantha, the Wellspring
1 Kaito Shizuki
1 Kolaghan's Command
1 Mystical Dispute
2 Spell Pierce
2 Tourach, Dread Cantor
2 Unlicensed Hearse
",9, 2022-06-19
9,4896469,Prison Tron,LORiWWA,/deck/visual/4896469?fullscreen=true,"1 Blast Zone
4 Chalice of the Void
4 Eldrazi Temple
3 Ensnaring Bridge
4 Expedition Map
1 Gemstone Caverns
1 Inventors' Fair
2 Island
4 Karn, the Great Creator
4 Mystic Forge
1 Pithing Needle
1 Relic of Progenitus
4 Serum Powder
4 Spellskite
1 The Underworld Cookbook
4 Thought-Knot Seer
4 Urza's Mine
4 Urza's Power Plant
2 Urza's Saga
4 Urza's Tower
3 Walking Ballista

1 Bottled Cloister
1 Emrakul, the Promised End
1 Ensnaring Bridge
1 Kozilek, Butcher of Truth
1 Liquimetal Coating
1 Possessed Portal
1 Ratchet Bomb
1 Sorcerous Spyglass
1 Sundering Titan
1 Tormod's Crypt
1 Torpor Orb
1 Walking Ballista
1 Welding Jar
1 Witchbane Orb
1 Wurmcoil Engine
",10, 2022-06-19
